datetime,value,predict
2012-09-25 12:00:00,11612.6,11536.844617452773
2012-09-26 12:00:00,11653.2,11494.376147178999
2012-09-27 12:00:00,11573.2,11446.889694266889
2012-09-28 12:00:00,11515.6,11420.90654030621
2012-09-29 12:00:00,11537.2,11405.417195719418
2012-09-30 12:00:00,11674.1,11412.16621064603
2012-10-01 12:00:00,11764.7,11407.975238912617
2012-10-02 12:00:00,11813.2,11436.094461963941
2012-10-03 12:00:00,11837.8,11451.740755998511
2012-10-04 12:00:00,11754.6,11464.280649397188
2012-10-05 12:00:00,11658.4,11450.467479406307
2012-10-06 12:00:00,11727.0,11414.635317396966
2012-10-07 12:00:00,11672.0,11425.424276874814
2012-10-08 12:00:00,11606.3,11400.097975479704
