datetime,value,predict
2016-10-09 12:00:00,7833.402,7866.223264576053
2016-10-16 12:00:00,7763.08,7902.403365017669
2016-10-23 12:00:00,7697.07,7905.563411716363
2016-10-30 12:00:00,7691.19,7897.902560279584
2016-11-06 12:00:00,7674.28,7880.461016363149
2016-11-13 12:00:00,7754.88,7859.774101412444
2016-11-20 12:00:00,7648.39,7869.345949264117
2016-11-27 12:00:00,7689.17,7863.962050741349
2016-12-04 12:00:00,7639.02,7864.968674988934
2016-12-11 12:00:00,7478.78,7839.67608633357
2016-12-18 12:00:00,7613.66,7841.875366028561
2016-12-25 12:00:00,7563.24,7875.298543313689
2017-01-01 12:00:00,7531.5,7853.1360998835235
