datetime,value,predict
2015-07-31 12:00:00,9933.0,9901.092893660745
2015-08-31 12:00:00,9968.0,9925.848589876477
2015-09-30 12:00:00,10034.0,9990.831106920365
2015-10-31 12:00:00,10098.0,9967.06438326171
2015-11-30 12:00:00,10076.0,9960.508647963916
2015-12-31 12:00:00,10272.0,9974.867465958609
2016-01-31 12:00:00,10306.0,10009.671617947688
2016-02-29 12:00:00,10331.0,10000.149630144819
2016-03-31 12:00:00,10331.0,10033.26548505147
2016-04-30 12:00:00,10648.0,10075.544540261038
2016-05-31 12:00:00,10630.0,10076.14184471368
2016-06-30 12:00:00,10773.0,10076.205872539276
2016-07-31 12:00:00,10790.0,10105.150472285533
2016-08-31 12:00:00,10832.0,10129.627458618399
2016-09-30 12:00:00,10939.0,10161.986226333745
2016-10-31 12:00:00,10975.0,10166.508484815304
2016-11-30 12:00:00,10955.0,10171.078737356424
2016-12-31 12:00:00,10957.0,10213.140163732742
