datetime,value,predict
2015-08-31 12:00:00,10520.0,10598.316838457671
2015-09-30 12:00:00,10520.0,10603.644956066775
2015-10-31 12:00:00,10530.0,10608.602528235033
2015-11-30 12:00:00,10530.0,10613.374918003428
2015-12-31 12:00:00,10510.0,10617.629642371701
2016-01-31 12:00:00,10490.0,10621.680618357594
2016-02-29 12:00:00,10440.0,10626.064766463347
2016-03-31 12:00:00,10400.0,10630.417165539235
2016-04-30 12:00:00,10440.0,10633.842939257065
2016-05-31 12:00:00,10580.0,10636.524073326273
2016-06-30 12:00:00,10600.0,10637.460726882597
2016-07-31 12:00:00,10580.0,10637.939891030073
2016-08-31 12:00:00,10540.0,10638.109881511737
2016-09-30 12:00:00,10580.0,10638.22152448132
2016-10-31 12:00:00,10630.0,10637.322994728434
2016-11-30 12:00:00,10690.0,10636.400816443933
2016-12-31 12:00:00,10810.0,10636.074836466283
2017-01-31 12:00:00,10850.0,10635.634219505595
