datetime,value,predict
2016-10-23 12:00:00,3265.2,3229.3140581106554
2016-10-30 12:00:00,3299.2,3277.2578866597305
2016-11-06 12:00:00,3276.9,3367.28740368115
2016-11-13 12:00:00,3338.6,3485.8329194237294
2016-11-20 12:00:00,3299.6,3592.7449988205217
2016-11-27 12:00:00,3574.8,3737.536208304585
2016-12-04 12:00:00,3557.3,3859.300190697709
2016-12-11 12:00:00,3591.5,4002.094994642819
2016-12-18 12:00:00,3690.3,4145.188026858979
2016-12-25 12:00:00,3977.2,4333.887425338131
2017-01-01 12:00:00,4463.9,4502.7534383378215
2017-01-08 12:00:00,4347.0,4606.098016157122
2017-01-15 12:00:00,4358.4,4681.728838716033
