datetime,value,predict
1992-11-20 12:00:00,4757.0,4759.875478488362
1992-11-21 12:00:00,4720.0,4754.445981254317
1992-11-22 12:00:00,4750.0,4752.864743583488
1992-11-23 12:00:00,4752.0,4749.149197479715
1992-11-24 12:00:00,4747.0,4748.938413018097
1992-11-25 12:00:00,4767.0,4742.167617188204
1992-11-26 12:00:00,4840.0,4738.829574381178
1992-11-27 12:00:00,4905.0,4732.480794568443
1992-11-28 12:00:00,4897.0,4728.5254847362075
1992-11-29 12:00:00,4945.0,4725.818261121432
1992-11-30 12:00:00,4985.0,4731.133079163309
1992-12-01 12:00:00,5030.0,4722.899504948175
1992-12-02 12:00:00,5105.0,4716.11574401913
1992-12-03 12:00:00,5200.0,4716.6220953806915
