datetime,value,predict
2015-07-31 12:00:00,2537.5,2474.8381946429254
2015-08-31 12:00:00,2524.67,2474.8381891531562
2015-09-30 12:00:00,2534.56,2474.8382164449395
2015-10-31 12:00:00,2476.61,2474.8381712763626
2015-11-30 12:00:00,2445.86,2474.838216978532
2015-12-31 12:00:00,2367.17,2474.838157695318
2016-01-31 12:00:00,2357.71,2474.8382216529776
2016-02-29 12:00:00,2370.01,2474.838171779139
2016-03-31 12:00:00,2433.88,2474.838215650501
2016-04-30 12:00:00,2435.74,2474.8381835794953
2016-05-31 12:00:00,2369.16,2474.8382031279757
2016-06-30 12:00:00,2447.84,2474.8381883841403
2016-07-31 12:00:00,2448.37,2474.8382033741923
2016-08-31 12:00:00,2461.47,2474.8382012413886
2016-09-30 12:00:00,2397.31,2474.8381959805492
2016-10-31 12:00:00,2393.18,2474.838218181915
2016-11-30 12:00:00,2409.83,2474.8382059576406
2016-12-31 12:00:00,2357.68,2470.149234804421
