datetime,value,predict
2016-10-09 12:00:00,5432.391,5458.841041951813
2016-10-16 12:00:00,5451.52,5464.004920491037
2016-10-23 12:00:00,5443.07,5461.130929016
2016-10-30 12:00:00,5483.69,5466.658842406136
2016-11-06 12:00:00,5408.07,5467.017198600185
2016-11-13 12:00:00,5413.78,5474.967967687284
2016-11-20 12:00:00,5394.08,5478.082086932241
2016-11-27 12:00:00,5368.37,5484.141225298978
2016-12-04 12:00:00,5355.06,5485.395109794819
2016-12-11 12:00:00,5351.09,5489.9470643458535
2016-12-18 12:00:00,5321.5,5495.685337124726
2016-12-25 12:00:00,5307.96,5499.378863987507
2017-01-01 12:00:00,5287.11,5504.904751322454
