datetime,value,predict
2009-12-19 12:00:00,4637.5,4643.3464486272305
2009-12-20 12:00:00,4601.5,4663.0189118311955
2009-12-21 12:00:00,4622.5,4695.231238802381
2009-12-22 12:00:00,4596.5,4715.968667954552
2009-12-23 12:00:00,4714.0,4754.510639369636
2009-12-24 12:00:00,4780.0,4785.525017914292
2009-12-25 12:00:00,4779.0,4816.249481472119
2009-12-26 12:00:00,4675.5,4836.657609221433
2009-12-27 12:00:00,4595.0,4816.351862698368
2009-12-28 12:00:00,4636.5,4792.91657655588
2009-12-29 12:00:00,4530.0,4739.097270642298
2009-12-30 12:00:00,4517.5,4687.573822822017
2009-12-31 12:00:00,4547.0,4663.262195120882
2010-01-01 12:00:00,4732.0,4681.841085593322
