datetime,value,predict
2004-11-30 12:00:00,3201.1,2460.593124756274
2004-12-31 12:00:00,2050.2,1477.0812886177491
2005-01-31 12:00:00,1356.2,1098.0962858508094
2005-02-28 12:00:00,3061.6,1491.9637443342272
2005-03-31 12:00:00,1958.7,1843.7366146493555
2005-04-30 12:00:00,2268.7,1748.597984875733
2005-05-31 12:00:00,3454.4,2294.5682368688626
2005-06-30 12:00:00,2058.2,3648.949893599727
2005-07-31 12:00:00,3099.7,2696.2198514185625
2005-08-31 12:00:00,3855.7,2077.951585776822
2005-09-30 12:00:00,1933.9,2735.653098823644
2005-10-31 12:00:00,2967.3,2933.1818574558565
2005-11-30 12:00:00,3529.1,2760.3884414225577
2005-12-31 12:00:00,2987.5,1823.8886580366866
2006-01-31 12:00:00,4895.7,1531.8755039088342
2006-02-28 12:00:00,2205.1,2007.1145872797297
2006-03-31 12:00:00,7240.8,2327.341510922849
2006-04-30 12:00:00,3178.7,2075.7748479109246
