datetime,value,predict
2014-10-12 12:00:00,7727.9,8052.170313226867
2014-10-19 12:00:00,8061.2,8035.014969828361
2014-10-26 12:00:00,7905.6,8043.016233102375
2014-11-02 12:00:00,7710.1,8107.429762866932
2014-11-09 12:00:00,7937.5,8262.502091370592
2014-11-16 12:00:00,7954.8,8226.192104127014
2014-11-23 12:00:00,8244.7,8461.665384421196
2014-11-30 12:00:00,8336.4,8415.209294683511
2014-12-07 12:00:00,8431.2,8437.1834302588
2014-12-14 12:00:00,8311.7,8583.455097149483
2014-12-21 12:00:00,8421.9,8586.827027576981
2014-12-28 12:00:00,8301.7,8536.379409837777
2015-01-04 12:00:00,8375.9,8555.455165539295
